# time	tot_Nck	free_Nck	tot_NWASP	free_NWASP	tot_Nephrin	free_Nephrin	cluster_123
3.250000e-01 6.000000e+02 2.004000e+02 3.000000e+02 3.990000e+01 2.000000e+02 1.321000e+02 4.660000e+01
3.300000e-01 6.000000e+02 2.035000e+02 3.000000e+02 4.700000e+01 2.000000e+02 1.295000e+02 4.520000e+01
3.350000e-01 6.000000e+02 1.982000e+02 3.000000e+02 4.580000e+01 2.000000e+02 1.304000e+02 4.400000e+01
3.400000e-01 6.000000e+02 2.022000e+02 3.000000e+02 4.490000e+01 2.000000e+02 1.283000e+02 4.500000e+01
3.450000e-01 6.000000e+02 2.009000e+02 3.000000e+02 4.370000e+01 2.000000e+02 1.285000e+02 4.560000e+01
3.500000e-01 6.000000e+02 1.989000e+02 3.000000e+02 4.540000e+01 2.000000e+02 1.300000e+02 4.380000e+01
3.550000e-01 6.000000e+02 2.021000e+02 3.000000e+02 4.330000e+01 2.000000e+02 1.289000e+02 4.690000e+01
3.600000e-01 6.000000e+02 2.099000e+02 3.000000e+02 4.790000e+01 2.000000e+02 1.319000e+02 4.470000e+01
3.650000e-01 6.000000e+02 2.019000e+02 3.000000e+02 4.550000e+01 2.000000e+02 1.318000e+02 4.390000e+01
3.700000e-01 6.000000e+02 2.038000e+02 3.000000e+02 4.480000e+01 2.000000e+02 1.314000e+02 4.620000e+01
3.750000e-01 6.000000e+02 1.994000e+02 3.000000e+02 3.900000e+01 2.000000e+02 1.318000e+02 4.620000e+01
3.800000e-01 6.000000e+02 1.962000e+02 3.000000e+02 4.250000e+01 2.000000e+02 1.313000e+02 4.570000e+01
3.850000e-01 6.000000e+02 2.007000e+02 3.000000e+02 4.400000e+01 2.000000e+02 1.312000e+02 4.460000e+01
3.900000e-01 6.000000e+02 1.999000e+02 3.000000e+02 4.170000e+01 2.000000e+02 1.318000e+02 4.430000e+01
3.950000e-01 6.000000e+02 2.046000e+02 3.000000e+02 4.550000e+01 2.000000e+02 1.327000e+02 4.430000e+01
4.000000e-01 6.000000e+02 2.016000e+02 3.000000e+02 4.210000e+01 2.000000e+02 1.332000e+02 4.130000e+01
4.050000e-01 6.000000e+02 1.955000e+02 3.000000e+02 4.410000e+01 2.000000e+02 1.342000e+02 4.290000e+01
4.100000e-01 6.000000e+02 1.975000e+02 3.000000e+02 4.740000e+01 2.000000e+02 1.332000e+02 4.480000e+01
4.150000e-01 6.000000e+02 2.044000e+02 3.000000e+02 4.630000e+01 2.000000e+02 1.338000e+02 4.240000e+01
4.200000e-01 6.000000e+02 2.028000e+02 3.000000e+02 4.590000e+01 2.000000e+02 1.308000e+02 4.720000e+01
4.250000e-01 6.000000e+02 1.976000e+02 3.000000e+02 4.740000e+01 2.000000e+02 1.297000e+02 4.340000e+01
4.300000e-01 6.000000e+02 2.022000e+02 3.000000e+02 4.560000e+01 2.000000e+02 1.305000e+02 4.400000e+01
4.350000e-01 6.000000e+02 2.020000e+02 3.000000e+02 4.660000e+01 2.000000e+02 1.331000e+02 4.610000e+01
4.400000e-01 6.000000e+02 2.026000e+02 3.000000e+02 4.490000e+01 2.000000e+02 1.339000e+02 4.450000e+01
4.450000e-01 6.000000e+02 2.073000e+02 3.000000e+02 4.580000e+01 2.000000e+02 1.310000e+02 4.520000e+01
4.500000e-01 6.000000e+02 2.044000e+02 3.000000e+02 4.790000e+01 2.000000e+02 1.321000e+02 4.260000e+01
4.550000e-01 6.000000e+02 2.005000e+02 3.000000e+02 4.340000e+01 2.000000e+02 1.335000e+02 4.440000e+01
4.600000e-01 6.000000e+02 1.973000e+02 3.000000e+02 4.480000e+01 2.000000e+02 1.294000e+02 4.840000e+01
4.650000e-01 6.000000e+02 1.995000e+02 3.000000e+02 4.490000e+01 2.000000e+02 1.290000e+02 4.750000e+01
4.700000e-01 6.000000e+02 1.991000e+02 3.000000e+02 4.430000e+01 2.000000e+02 1.303000e+02 4.690000e+01
4.750000e-01 6.000000e+02 1.978000e+02 3.000000e+02 4.310000e+01 2.000000e+02 1.310000e+02 4.630000e+01
4.800000e-01 6.000000e+02 1.970000e+02 3.000000e+02 4.280000e+01 2.000000e+02 1.344000e+02 4.100000e+01
4.850000e-01 6.000000e+02 1.969000e+02 3.000000e+02 4.270000e+01 2.000000e+02 1.322000e+02 4.270000e+01
4.900000e-01 6.000000e+02 2.034000e+02 3.000000e+02 4.180000e+01 2.000000e+02 1.334000e+02 4.270000e+01
4.950000e-01 6.000000e+02 2.012000e+02 3.000000e+02 4.340000e+01 2.000000e+02 1.314000e+02 4.450000e+01
5.000000e-01 6.000000e+02 2.013000e+02 3.000000e+02 4.390000e+01 2.000000e+02 1.294000e+02 4.400000e+01
